
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
RES-0805_0.1_1%                  R466                             514   1   1   1   1 1      1 0 VM.3R               8511489
RES-0805_0.1_1%                  R466                             514   1   2   1   1 2      2 0 VM.3                8171521
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
RES-0805_0.1_1%                  R566                             516   1   1   1   1 1      1 0 VM.4R               8478721
RES-0805_0.1_1%                  R566                             516   1   2   1   1 2      2 0 VM.4                7897089
RES-0805_0.1_1%                  R666                             517   1   1   1   1 1      1 0 VM.5R               7847937
RES-0805_0.1_1%                  R666                             517   1   2   1   1 2      2 0 VM.5                7843841
RES-0805_0.1_1%                  R766                             518   1   1   1   1 1      1 0 VM.6R               7749633
RES-0805_0.1_1%                  R766                             518   1   2   1   1 2      2 0 VM.6                7741441
RESA-0804V-4x_10.0k_5%           RA241                            161   1   1   1   1 1      1 0 PC15.1              7639041
RESA-0804V-4x_10.0k_5%           RA241                            161   1   2   1   1 8      8 0 V3P3.1              8278017
RESA-0804V-4x_10.0k_5%           RA241                            161   1   1   1   2 2      2 0 PC14.1              7647233
RESA-0804V-4x_10.0k_5%           RA241                            161   1   2   1   2 7      7 0 V3P3.1              8278017
RESA-0804V-4x_10.0k_5%           RA241                            161   1   1   1   3 3      3 0 PC13.1              499713
RESA-0804V-4x_10.0k_5%           RA241                            161   1   2   1   3 6      6 0 V3P3.1              8278017
RESA-0804V-4x_10.0k_5%           RA241                            161   1   1   1   4 4      4 0 BOOT.1              434177
RESA-0804V-4x_10.0k_5%           RA241                            161   1   2   1   4 5      5 0 GND                 8224769
RESA-0804V-4x_10.0k_5%           RA242                            178   1   1   1   1 1      1 0 I2C1_SDA.1          7667713
RESA-0804V-4x_10.0k_5%           RA242                            178   1   2   1   1 8      8 0 V3P3.1              8278017
RESA-0804V-4x_10.0k_5%           RA242                            178   1   1   1   2 2      2 0 I2C1_SCL.1          7663617
RESA-0804V-4x_10.0k_5%           RA242                            178   1   2   1   2 7      7 0 V3P3.1              8278017
RESA-0804V-4x_10.0k_5%           RA242                            178   1   1   1   3 3      3 0 MOT_EN.1            4042753
RESA-0804V-4x_10.0k_5%           RA242                            178   1   2   1   3 6      6 0 V_MPU.1             8282113
RESA-0804V-4x_10.0k_5%           RA242                            178   1   1   1   4 4      4 0 CAN_EN.1            8245249
RESA-0804V-4x_10.0k_5%           RA242                            178   1   2   1   4 5      5 0 V_MPU.1             8282113
RESA-0804V-4x_10.0k_5%           RA243                            172   1   1   1   1 1      1 0 PON.1               585729
RESA-0804V-4x_10.0k_5%           RA243                            172   1   2   1   1 8      8 0 GND                 8224769
RESA-0804V-4x_10.0k_5%           RA243                            172   1   1   1   2 2      2 0 PG.1                5795841
RESA-0804V-4x_10.0k_5%           RA243                            172   1   2   1   2 7      7 0 V_MPU.1             8282113
RESA-0804V-4x_10.0k_5%           RA243                            172   1   1   1   3 3      3 0 CAN1.1              7335937
RESA-0804V-4x_10.0k_5%           RA243                            172   1   2   1   3 6      6 0 V_MPU.1             8282113
RESA-0804V-4x_10.0k_5%           RA243                            172   1   1   1   4 4      4 0 CAN2.1              7368705
RESA-0804V-4x_10.0k_5%           RA243                            172   1   2   1   4 5      5 0 V_MPU.1             8282113
